,Season,Name,Nationality,Type,Team,Price
1,2024,Avanish Rao Aravelly ,Indian ,Wicket-Keeper , Chennai Super Kings,"20,00,000 "
2,2024,Mustafizur Rahman ,Overseas ,Bowler , Chennai Super Kings,"2,00,00,000 "
3,2024,Daryl Mitchell ,Overseas ,All-Rounder , Chennai Super Kings,"14,00,00,000 "
4,2024,Sameer Rizvi ,Indian ,Batter , Chennai Super Kings,"8,40,00,000 "
5,2024,Rachin Ravindra ,Overseas ,All-Rounder , Chennai Super Kings,"1,80,00,000 "
6,2024,Shardul Thakur ,Indian ,All-Rounder , Chennai Super Kings,"4,00,00,000 "
7,2024,Ricky Bhui ,Indian ,Wicket-Keeper , Delhi Capitals,"20,00,000 "
8,2024,Sumit Kumar ,Indian ,All-Rounder , Delhi Capitals,"1,00,00,000 "
9,2024,Swastik Chhikara ,Indian ,Batter , Delhi Capitals,"20,00,000 "
10,2024,Jhye Richardson ,Overseas ,Bowler , Delhi Capitals,"5,00,00,000 "
11,2024,Shai Hope ,Overseas ,Wicket-Keeper , Delhi Capitals,"75,00,000 "
12,2024,Rasikh Dar ,Indian ,Bowler , Delhi Capitals,"20,00,000 "
13,2024,Kumar Kushagra ,Indian ,Wicket-Keeper , Delhi Capitals,"7,20,00,000 "
14,2024,Tristan Stubbs ,Overseas ,Wicket-Keeper , Delhi Capitals,"50,00,000 "
15,2024,Harry Brook ,Overseas ,Batter , Delhi Capitals,"4,00,00,000 "
16,2024,Kartik Tyagi ,Indian ,Bowler , Gujarat Titans,"60,00,000 "
17,2024,Spencer Johnson ,Overseas ,Bowler , Gujarat Titans,"10,00,00,000 "
18,2024,Manav Suthar ,Indian ,Bowler , Gujarat Titans,"20,00,000 "
19,2024,Robin Minz ,Indian ,Wicket-Keeper , Gujarat Titans,"3,60,00,000 "
20,2024,Sushant Mishra ,Indian ,Bowler , Gujarat Titans,"2,20,00,000 "
21,2024,Azmatullah Omarzai ,Overseas ,All-Rounder , Gujarat Titans,"50,00,000 "
22,2024,Shahrukh Khan ,Indian ,All-Rounder , Gujarat Titans,"7,40,00,000 "
23,2024,Umesh Yadav ,Indian ,Bowler , Gujarat Titans,"5,80,00,000 "
24,2024,Mujeeb Rahman ,Overseas ,Bowler , Kolkata Knight Riders,"2,00,00,000 "
25,2024,Manish Pandey ,Indian ,Batter , Kolkata Knight Riders,"50,00,000 "
26,2024,Gus Atkinson ,Overseas ,Bowler , Kolkata Knight Riders,"1,00,00,000 "
27,2024,Angkrish Raghuvanshi ,Indian ,Batter , Kolkata Knight Riders,"20,00,000 "
28,2024,Mitchell  Starc ,Overseas ,Bowler , Kolkata Knight Riders,"24,75,00,000 "
29,2024,Sherfane Rutherford ,Overseas ,Batter , Kolkata Knight Riders,"1,50,00,000 "
30,2024,Ramandeep  Singh ,Indian ,All-Rounder , Kolkata Knight Riders,"20,00,000 "
31,2024,K.S. Bharat ,Indian ,Wicket-Keeper , Kolkata Knight Riders,"50,00,000 "
32,2024,Chetan Sakariya ,Indian ,Bowler , Kolkata Knight Riders,"50,00,000 "
33,2024,Sakib Hussain ,Indian ,Bowler , Kolkata Knight Riders,"20,00,000 "
34,2024,Ashton Turner ,Overseas ,Batter , Lucknow Super Giants,"1,00,00,000 "
35,2024,David Willey  ,Overseas ,All-Rounder , Lucknow Super Giants,"2,00,00,000 "
36,2024,M. Siddharth ,Indian ,Bowler , Lucknow Super Giants,"2,40,00,000 "
37,2024,Shivam  Mavi ,Indian ,Bowler , Lucknow Super Giants,"6,40,00,000 "
38,2024,Arshin Kulkarni ,Indian ,All-Rounder , Lucknow Super Giants,"20,00,000 "
39,2024,Mohd. Arshad Khan ,Indian ,All-Rounder , Lucknow Super Giants,"20,00,000 "
40,2024,Dilshan Madushanka ,Overseas ,Bowler , Mumbai Indians,"4,60,00,000 "
41,2024,Shreyas Gopal ,Indian ,Bowler , Mumbai Indians,"20,00,000 "
42,2024,Shivalik Sharma ,Indian ,All-Rounder , Mumbai Indians,"20,00,000 "
43,2024,Anshul Kamboj ,Indian ,All-Rounder , Mumbai Indians,"20,00,000 "
44,2024,Mohammad Nabi ,Overseas ,All-Rounder , Mumbai Indians,"1,50,00,000 "
45,2024,Naman Dhir ,Indian ,All-Rounder , Mumbai Indians,"20,00,000 "
46,2024,Nuwan Thushara ,Overseas ,Bowler , Mumbai Indians,"4,80,00,000 "
47,2024,Gerald Coetzee ,Overseas ,All-Rounder , Mumbai Indians,"5,00,00,000 "
48,2024,Chris Woakes  ,Overseas ,All-Rounder , Punjab Kings,"4,20,00,000 "
49,2024,Tanay Thyagarajann ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
50,2024,Vishwanath Pratap Singh ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
51,2024,Ashutosh Sharma ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
52,2024,Shashank  Singh ,Indian ,Batter , Punjab Kings,"20,00,000 "
53,2024,Rilee Rossouw ,Overseas ,Batter , Punjab Kings,"8,00,00,000 "
54,2024,Prince Choudhary ,Indian ,Bowler , Punjab Kings,"20,00,000 "
55,2024,Harshal Patel ,Indian ,All-Rounder , Punjab Kings,"11,75,00,000 "
56,2024,Shubham Dubey ,Indian ,Batter , Rajasthan Royals,"5,80,00,000 "
57,2024,Rovman Powell ,Overseas ,Batter , Rajasthan Royals,"7,40,00,000 "
58,2024,Abid Mushtaq ,Indian ,All-Rounder , Rajasthan Royals,"20,00,000 "
59,2024,Nandre Burger ,Overseas ,Bowler , Rajasthan Royals,"50,00,000 "
60,2024,Tom Kohler-Cadmore ,Overseas ,Wicket-Keeper , Rajasthan Royals,"40,00,000 "
61,2024,Lockie Ferguson ,Overseas ,Bowler , Royal Challengers Bengaluru,"2,00,00,000 "
62,2024,Tom Curran ,Overseas ,All-Rounder , Royal Challengers Bengaluru,"1,50,00,000 "
63,2024,Saurav Chuahan ,Indian ,Batter , Royal Challengers Bengaluru,"20,00,000 "
64,2024,Alzarri Joseph ,Overseas ,Bowler , Royal Challengers Bengaluru,"11,50,00,000 "
